Date,Parameters,Age_Group
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",2
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
27.02.2019,"Low, Low",3
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",1
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",2
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",3
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
